agency_name,date,stock_price
JYP,2018-01-02,13350
JYP,2018-01-03,13150
JYP,2018-01-04,12800
JYP,2018-01-05,13350
JYP,2018-01-08,12900
JYP,2018-01-09,13150
JYP,2018-01-10,13450
JYP,2018-01-11,13400
JYP,2018-01-12,13050
JYP,2018-01-15,14000
JYP,2018-01-16,14500
JYP,2018-01-17,16200
JYP,2018-01-18,15950
JYP,2018-01-19,16650
JYP,2018-01-22,16550
JYP,2018-01-23,16050
JYP,2018-01-24,16100
JYP,2018-01-25,15850
JYP,2018-01-26,16400
JYP,2018-01-29,16050
JYP,2018-01-30,16150
JYP,2018-01-31,15650
JYP,2018-02-01,16450
JYP,2018-02-02,16050
JYP,2018-02-05,15550
JYP,2018-02-06,15500
JYP,2018-02-07,15000
JYP,2018-02-08,16600
JYP,2018-02-09,16600
JYP,2018-02-12,16900
JYP,2018-02-13,15850
JYP,2018-02-14,16400
JYP,2018-02-19,17400
JYP,2018-02-20,16900
JYP,2018-02-21,16700
JYP,2018-02-22,16650
JYP,2018-02-23,16950
JYP,2018-02-26,17050
JYP,2018-02-27,17000
JYP,2018-02-28,16900
JYP,2018-03-02,17500
JYP,2018-03-05,17450
JYP,2018-03-06,18000
JYP,2018-03-07,17900
JYP,2018-03-08,18400
JYP,2018-03-09,18700
JYP,2018-03-12,19050
JYP,2018-03-13,19300
JYP,2018-03-14,19700
JYP,2018-03-15,19850
JYP,2018-03-16,20350
JYP,2018-03-19,21200
JYP,2018-03-20,21250
JYP,2018-03-21,20250
JYP,2018-03-22,20600
JYP,2018-03-23,20600
JYP,2018-03-26,21400
JYP,2018-03-27,22450
JYP,2018-03-28,22650
JYP,2018-03-29,22950
JYP,2018-03-30,23150
JYP,2018-04-02,24000
JYP,2018-04-03,24100
JYP,2018-04-04,23350
JYP,2018-04-05,22300
JYP,2018-04-06,22000
JYP,2018-04-09,22550
JYP,2018-04-10,22600
JYP,2018-04-11,21750
JYP,2018-04-12,21150
JYP,2018-04-13,21250
JYP,2018-04-16,22500
JYP,2018-04-17,23600
JYP,2018-04-18,23850
JYP,2018-04-19,22950
JYP,2018-04-20,22900
JYP,2018-04-23,22000
JYP,2018-04-24,22050
JYP,2018-04-25,22100
JYP,2018-04-26,22050
JYP,2018-04-27,22350
JYP,2018-04-30,21450
JYP,2018-05-02,20250
JYP,2018-05-03,20700
JYP,2018-05-04,20450
JYP,2018-05-08,19950
JYP,2018-05-09,19950
JYP,2018-05-10,19400
JYP,2018-05-11,20050
JYP,2018-05-14,19500
JYP,2018-05-15,20700
JYP,2018-05-16,21950
JYP,2018-05-17,21250
JYP,2018-05-18,21850
JYP,2018-05-21,22100
JYP,2018-05-23,21800
JYP,2018-05-24,22300
JYP,2018-05-25,22300
JYP,2018-05-28,23050
JYP,2018-05-29,24500
JYP,2018-05-30,24450
JYP,2018-05-31,24800
JYP,2018-06-01,25000
JYP,2018-06-04,25250
JYP,2018-06-05,24050
JYP,2018-06-07,24000
JYP,2018-06-08,24450
JYP,2018-06-11,24100
JYP,2018-06-12,24550
JYP,2018-06-14,24350
JYP,2018-06-15,24800
JYP,2018-06-18,24200
JYP,2018-06-19,23800
JYP,2018-06-20,24450
JYP,2018-06-21,26200
JYP,2018-06-22,25850
JYP,2018-06-25,25300
JYP,2018-06-26,25500
JYP,2018-06-27,25250
JYP,2018-06-28,25450
JYP,2018-06-29,26400
JYP,2018-07-02,25200
JYP,2018-07-03,26500
JYP,2018-07-04,25950
JYP,2018-07-05,25350
