Date,HYBE,JYP,SM,YG
2020-10-15,255420,34050,31850,44900
2020-10-16,198495,34550,30850,43850
2020-10-19,187110,33500,30400,42650
2020-10-20,180675,33400,30400,42950
2020-10-21,177210,33800,31200,42600
2020-10-22,178200,32550,29850,41700
2020-10-23,170775,32750,29600,41950
2020-10-26,154440,31600,28750,38700
2020-10-27,160875,32200,29000,40400
2020-10-28,156915,32950,30100,41150
2020-10-29,155430,31850,29800,40450
2020-10-30,140580,30550,28800,38700
2020-11-02,142065,31700,29250,39850
2020-11-03,150480,32500,29650,41000
2020-11-04,147510,33400,30000,41150
2020-11-05,162360,35300,31050,43850
2020-11-06,160380,34450,30350,42500
2020-11-09,161370,35150,30650,42950
2020-11-10,166320,35850,31600,43900
2020-11-11,162360,34950,31650,42800
2020-11-12,155925,34850,32200,43650
2020-11-13,158400,35900,32000,44350
2020-11-16,169785,38100,32400,45300
2020-11-17,177705,37950,30500,43850
2020-11-18,179685,39850,30600,44900
2020-11-19,178200,39800,29900,43850
2020-11-20,182655,39900,30450,44600
2020-11-23,178200,39950,30300,45450
2020-11-24,179190,39000,30200,47150
2020-11-25,172260,39900,29900,45950
2020-11-26,174240,39000,30100,45150
2020-11-27,176220,39300,30000,45050
2020-11-30,177705,37950,29700,43800
2020-12-01,179190,39350,29950,44050
2020-12-02,180180,39150,29900,43750
2020-12-03,187605,43250,31250,49050
2020-12-04,185625,40650,30250,46600
2020-12-07,178695,39150,29700,45550
2020-12-08,180180,37900,30000,45900
2020-12-09,178200,38050,30350,46650
2020-12-10,179685,38600,30050,45800
2020-12-11,178695,38750,30100,47300
2020-12-14,173745,38200,29750,46800
2020-12-15,170280,38050,29600,46750
2020-12-16,171270,38100,29550,46900
2020-12-17,159885,37100,29200,44900
2020-12-18,160380,37300,29150,45200
2020-12-21,156915,36750,28800,43800
2020-12-22,152955,35350,28100,42400
2020-12-23,151470,37150,28400,42800
2020-12-24,156420,37050,28950,43050
2020-12-28,154935,38500,29400,43450
2020-12-29,156915,38650,29450,44450
2020-12-30,158400,38400,29750,44700
2021-01-04,156420,37550,29550,44050
2021-01-05,156915,37250,29250,43300
2021-01-06,156915,36700,29000,43000
2021-01-07,155430,36650,29200,43000
2021-01-08,158895,37800,29900,45100
2021-01-11,152955,36200,29000,44000
2021-01-12,151965,36900,28950,45250
2021-01-13,166815,37000,30650,47000
2021-01-14,164340,37050,30900,47000
2021-01-15,155430,36250,29900,45500
2021-01-18,163845,35900,29550,45300
2021-01-19,171765,36500,30300,47050
2021-01-20,174240,38500,31300,51000
2021-01-21,171270,37850,31250,51200
2021-01-22,190575,38000,32400,52900
2021-01-25,201465,37700,33750,51800
2021-01-26,208395,36400,32900,52000
2021-01-27,205425,35200,32600,50400
2021-01-28,217800,34150,31800,47050
2021-01-29,202455,32500,30600,45350
2021-02-01,215325,33600,30900,45750
2021-02-02,230175,34100,31400,47500
2021-02-03,230175,34300,31300,49100
2021-02-04,239085,33450,30700,49050
2021-02-05,240570,33350,30250,49150
2021-02-08,243045,33400,30450,48900
2021-02-09,228690,33150,30050,46650
2021-02-10,229185,33800,30800,47150
2021-02-15,224235,34150,30750,47150
2021-02-16,245520,36450,31300,48550
2021-02-17,246510,37600,30900,48600
2021-02-18,239085,37000,30600,46900
2021-02-19,232155,36700,30450,46000
2021-02-22,224730,35650,29950,44800
2021-02-23,226215,35500,30300,46150
2021-02-24,208890,35500,30000,44700
2021-02-25,209880,37450,30600,46050
2021-02-26,204435,36500,30050,45700
2021-03-02,204930,37800,30200,45900
2021-03-03,210375,37950,32200,47100
2021-03-04,210870,36950,32200,49150
2021-03-05,205425,37450,32800,50300
2021-03-08,205920,35700,31700,49850
2021-03-09,198000,34200,30900,48500
2021-03-10,191070,33300,30200,47100
2021-03-11,209385,34300,31800,48400
2021-03-12,225720,34500,30600,48350
2021-03-15,215820,34300,30250,49250
2021-03-16,216810,35000,30350,49300
2021-03-17,228690,35150,30100,49750
2021-03-18,231660,35200,30150,48150
2021-03-19,223740,35350,30200,48000
2021-03-22,227700,35400,30050,47950
2021-03-23,219780,35400,29650,47550
2021-03-24,216810,36150,29750,46550
2021-03-25,233145,36500,29850,46250
2021-03-26,239580,35700,29800,45250
2021-03-29,234135,34850,29450,45100
2021-03-30,240075,35600,29550,45050
2021-03-31,240570,35600,29600,44500
2021-04-01,236610,34700,29950,45250
2021-04-02,240570,34900,29700,45300
2021-04-05,245520,34550,29650,46000
2021-04-06,256410,34400,29850,46150
2021-04-07,273240,35000,30700,46200
2021-04-08,264330,34950,30350,46200
2021-04-09,255420,34300,30200,45350
2021-04-12,249975,34050,30400,45100
2021-04-13,249975,34200,30400,45250
2021-04-14,233145,33950,30450,44900
2021-04-15,247500,34100,30750,44600
2021-04-16,249000,34800,30800,45100
2021-04-19,241500,34350,30400,44950
2021-04-20,242000,34500,30400,45200
2021-04-21,242000,33850,29950,44500
2021-04-22,255000,34150,29950,44550
2021-04-23,258500,33800,29700,43850
2021-04-26,259000,33800,30000,44500
2021-04-27,256000,33950,30650,43850
2021-04-28,244000,33350,30350,42950
2021-04-29,243500,33350,30150,42400
2021-04-30,243000,32900,30200,41550
2021-05-03,236500,31500,29800,41000
2021-05-04,239500,31550,29550,40950
2021-05-06,251000,30950,30000,40600
2021-05-07,252500,33050,32000,41900
2021-05-10,258500,34000,32600,41900
2021-05-11,259000,33050,31650,41500
2021-05-12,246000,33900,31300,44500
2021-05-13,240500,33450,31000,44900
2021-05-14,242500,35900,33450,45100
2021-05-17,248500,37650,35950,46100
2021-05-18,260500,38250,38400,47250
2021-05-20,266000,38200,39000,48350
2021-05-21,261500,37050,40000,47950
2021-05-24,263500,36950,40100,49050
2021-05-25,260500,38650,42700,50000
2021-05-26,259000,38600,42250,50000
2021-05-27,253000,39000,42450,50500
2021-05-28,261000,38250,42700,49400
2021-05-31,265000,39600,43700,50900
2021-06-01,261000,39650,44300,50900
2021-06-02,263500,38800,44400,51000
2021-06-03,269500,39400,47000,50400
2021-06-04,266000,38650,43750,49900
2021-06-07,265500,39450,45950,50000
2021-06-08,265000,39500,43350,47950
2021-06-09,262000,38950,44350,48350
2021-06-10,272500,38900,44800,47900
2021-06-11,275500,39950,47950,49750
2021-06-14,282000,40850,47100,50700
2021-06-15,289000,41300,51000,52400
2021-06-16,292000,40300,51400,52700
2021-06-17,297000,40800,55000,53700
2021-06-18,313000,42950,54800,54800
2021-06-21,308000,43050,53300,52800
2021-06-22,324500,42150,54000,52200
2021-06-23,321500,42900,55700,55300
2021-06-24,322000,42150,56500,54200
2021-06-25,314000,40200,54000,51100
2021-06-28,312000,39950,55100,50400
2021-06-29,289000,39750,59200,50400
2021-06-30,292500,40500,58800,51200
2021-07-01,302000,40750,58700,51900
2021-07-02,303000,40100,60800,51400
2021-07-05,306500,40750,61300,52600
2021-07-06,302000,40100,60300,52700
2021-07-07,297500,39100,59800,51200
