year,rank,title,singer,sales,release_date
2018,1,LOVE YOURSELF 結 ''Answer'',방탄소년단,2197808,2018.08.24
2018,2,LOVE YOURSELF 轉 ''Tear'',방탄소년단,1849537,2018.05.18
2018,3,DON''T MESS UP MY TEMPO - The 5th Album,EXO,1452030,2018.11.02
2018,4,0+1=1 (I PROMISE YOU),Wanna One (워너원),782562,2018.03.19
2018,5,1÷χ=1 (UNDIVIDED),Wanna One (워너원),641131,2018.06.04
2018,6,1¹¹=1 (POWER OF DESTINY),Wanna One (워너원),605128,2018.11.19
2018,7,LOVE SHOT - The 5th Album Repackage,EXO,499849,2018.12.13
2018,8,5TH MINI ALBUM ''YOU MAKE MY DAY'',세븐틴,389937,2018.07.16
2018,9,Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시),363567,2018.04.10
2018,10,What is Love?,TWICE,348797,2018.04.09
2018,11,LOVE YOURSELF 承 ''Her'',방탄소년단,333420,2017.09.18
2018,12,Eyes On You,GOT7,332580,2018.03.12
2018,13,NCT 2018 EMPATHY,NCT,330335,2018.03.14
2018,14,Present : YOU,GOT7,326754,2018.09.17
2018,15,YES or YES,TWICE,325761,2018.11.05
2018,16,Summer Nights,TWICE,314421,2018.07.09
2018,17,NCT #127 Regular-Irregular - The 1st Album,NCT 127,292341,2018.10.12
2018,18,"WHO, YOU",뉴이스트 W,250810,2018.06.25
2018,19,ARE YOU THERE? - The 2nd Album Take.1,몬스타엑스,239137,2018.10.22
2018,20,Poet l Artist,종현 (JONGHYUN),235965,
2018,21,SQUARE UP,BLACKPINK,230656,2018.06.15
2018,22,We Go Up - The 2nd Mini Album,NCT DREAM,202626,2018.09.03
2018,23,The year of ''YES'',TWICE,196034,2018.12.12
2018,24,COLOR*IZ,IZ*ONE (아이즈원),192738,2018.10.29
2018,25,"WAKE,N",뉴이스트 W,191461,2018.11.26
2018,26,SPECIAL ALBUM ''DIRECTOR''S CUT'',세븐틴,188911,2018.02.05
2018,27,''Present : YOU'' &ME Edition,GOT7,185641,2018.12.03
2018,28,THE CONNECT : DEJAVU,몬스타엑스,175130,2018.03.26
2018,29,NCT #127 Regulate - The 1st Album Repackage,NCT 127,157809,2018.11.23
2018,30,Summer Magic - Summer Mini Album,레드벨벳(Red Velvet),157323,2018.08.06
2018,31,New Chapter #1 : The Chance of Love - The 8th Album,동방신기,146354,2018.03.28
2018,32,One More Time - Special Mini Album,슈퍼주니어 (Super Junior),142534,2018.10.08
2018,33,화양연화 Young Forever,방탄소년단,129819,2016.05.02
2018,34,WINGS,방탄소년단,129787,2016.10.10
2018,35,True Colors,JBJ,123502,2018.01.17
2018,36,EVERYD4Y,위너(WINNER),121062,2018.04.04
2018,37,THIS IS US,비투비 (BTOB),119401,2018.06.18
2018,38,Be Myself,황치열,115988,2018.04.24
2018,39,3rd MINI ALBUM [THE ONLY],더보이즈(THE BOYZ),115754,2018.11.29
2018,40,''The Story of Light'' EP.1 - The 6th Album,샤이니 (SHINee),115234,2018.05.28
2018,41,REPLAY - The 8th Repackage Album,슈퍼주니어 (Super Junior),114457,2018.04.12
2018,42,YOU NEVER WALK ALONE,방탄소년단,111140,2017.02.13
2018,43,NEW KIDS : CONTINUE,iKON,109481,2018.08.02
2018,44,I am YOU,Stray Kids (스트레이 키즈),107975,2018.10.22
2018,45,Return,iKON,105105,2018.01.25
2018,46,HOUR MOMENT,비투비 (BTOB),101747,2018.11.12
2018,47,''The Story of Light'' EP.3 - The 6th Album,샤이니 (SHINee),98998,2018.06.25
2018,48,''The Story of Light'' EP.2 - The 6th Album,샤이니 (SHINee),97220,2018.06.11
2018,49,RBB - The 5th Mini Album,레드벨벳(Red Velvet),94367,2018.11.30
2018,50,EAU DE VIXX,빅스 (VIXX),94225,2018.04.17
2018,51,New Chapter #2 : The Truth of Love - 15th Anniversary Special Album,동방신기,93238,2018.12.26
2018,52,I am WHO,Stray Kids (스트레이 키즈),91648,2018.08.06
2018,53,The Perfect Red Velvet - The 2nd Album Repackage,레드벨벳(Red Velvet),91325,2018.01.29
2018,54,I am NOT,Stray Kids (스트레이 키즈),86576,2018.03.26
2018,55,The 6th Mini Album ''Time for the moon night'',여자친구 (GFRIEND),84313,2018.04.30
2018,56,TOP SEED,인피니트 (Infinite),80523,2018.01.08
2018,57,화양연화 pt.2,방탄소년단,80100,2015.11.30
