agency_name,year,ranking,singer,title,sales,release_date
SM,2018,3,EXO,DON'T MESS UP MY TEMPO - The 5th Album,1452030,2018.11.02
JYP,2018,10,TWICE,What is Love?,348797,2018.04.09
YG,2018,21,BLACKPINK,SQUARE UP,230656,2018.06.15
SM,2019,3,EXO,OBSESSION - The 6th Album,766294,2019.11.27
JYP,2019,9,슈퍼주니어 (Super Junior),Time_Slip - The 9th Album,427647,2019.10.14
YG,2019,17,BLACKPINK,KILL THIS LOVE,324577,2019.04.05
SM,2020,4,NCT,NCT RESONANCE Pt. 1 - The 2nd Album,1289594,2020.10.12
YG,2020,5,BLACKPINK,THE ALBUM,1244802,2020.10.02
JYP,2020,12,TWICE,MORE & MORE,573431,2020.06.01
SM,2021,2,NCT 127,Sticker - The 3rd Album,2427559,2021.09.17
JYP,2021,8,Stray Kids (스트레이 키즈),NOEASY,1303106,2021.08.23
YG,2021,56,BLACKPINK,THE ALBUM,190729,2020.10.02
JYP,2022,2,Stray Kids (스트레이 키즈),MAXIDENT,3176233,2022.10.07
YG,2022,4,BLACKPINK,BORN PINK,2522941,2022.09.16
SM,2022,5,NCT DREAM,Glitch Mode - The 2nd Album,2095544,2022.03.28
